model_abbr,website_url,repo_url,citation,methods,methods_long,data_inputs,method_type,mathematical_type,mathematical_detail,empirical_type,empirical_detail,checked citation,check
epiforecasts-EpiExpert_Rt,https://epiforecasts.io/,NA,https://github.com/epiforecasts/covid-german-forecasts,Mean ensemble of human predictions of Rt which get mapped to cases and deaths using a renewal equation,"Forecasts of Rt from experts and non-experts are elicited using a shinyApp.  Individuals choose a distribution (default is normal) for Rt and change the  median and width of that predictive distribution for evey forecast horizon.  Based on individual forecasts, samples are drawn from the individual forecast  distributions. These samples are used to simulate cases and deaths based on a  renewal equation using the R package EpiNow2.",ECDC deaths and cases,Ensemble,NA,NA,NA,NA,NA,NA
epiforecasts-EpiExpert_direct,https://epiforecasts.io/,NA,https://github.com/epiforecasts/covid-german-forecasts,Mean ensemble of human predictions,Forecasts from experts and non-experts are elicited using a shinyApp.  Individuals currently make forecasts by choosing a distribution and specifying the  median and width of that predictive distribution for evey forecast horizon.  Forecasts are collected and a mean ensemble is formed.,ECDC deaths and cases,Ensemble,NA,NA,NA,NA,NA,NA
epiforecasts-EpiNow2,https://epiforecasts.io/EpiNow2,https://github.com/epiforecasts/europe-covid-forecast,https://doi.org/10.5281/zenodo.3957489,Semi-mechanistic estimation of the time-varying reproduction number for latent infections mapped to reported cases/deaths.,"EpiNow2 implements a Bayesian latent variable approach using the probabilistic programming language Stan, which works as follows. For an initial, unobserved, seeding time infections were estimated using an exponential model with priors based on observed growth. For each subsequent time step, previous imputed infections were summed, weighted by an uncertain generation time probability mass function, and combined with an estimate of Rt to give the incidence at that time. The infection trajectories were then mapped to mean reported case counts by convolving over an uncertain incubation period and report delay distribution. Observed reported case counts were then assumed to be generated from a negative binomial observation model with overdispersion, multiplied by a day of the week effect with an independent parameter for each day of the week. Temporal variation was controlled using an approximate Gaussian process with a Matern 3/2 kernel. Rt was assumed to be constant over the forecast horizon although a correction was applied to adjust for the time-varying proportion of the population that was susceptible. Deaths were then modelled as a convolution of forecast cases combined with some scaling factor, a day of the week effect and a negative binomial observation model.",ECDC deaths and cases,Semi-mechanistic,NA,NA,NA,NA,NA,NA
epiforecasts-arimareg,https://epiforecasts.io/,https://github.com/sophiemeakin/ecdc-covid19-admissions,NA,"A regression model forecasting admissions from 1-week-lagged cases, with ARIMA errors. Fit to weekly data.","A regression model forecasting admissions from 1-week-lagged cases, with ARIMA errors. Fit to weekly data. Where needed, we use the hub-ensemble forecast of future COVID-19 cases.","weekly incident admissions and cases, and the EuroCOVIDhub-ensemble case forecast",Empirical,NA,NA,NA,NA,NA,NA
epiforecasts-caseconv,https://epiforecasts.io/,https://github.com/sophiemeakin/ecdc-covid19-admissions,NA,A convolution of cases and a delay distribution fit to weekly data.,"A convolution of cases and a delay distribution fit to weekly data. Where needed, we use the hub-ensemble forecast of future COVID-19 cases.","weekly incident admissions and cases, and the EuroCOVIDhub-ensemble case forecast",Empirical,NA,NA,bayes,case convolution,NA,NA
epiforecasts-tsensemble,https://epiforecasts.io/,https://github.com/sophiemeakin/ecdc-covid19-admissions,NA,"A mean ensemble of three autoregressive time series models (ARIMA, ETS and ""naive"" - future admissions are equal to the last observed week, with expanding uncertainty).","A mean ensemble of three autoregressive time series models (ARIMA, ETS and ""naive"" - future admissions are equal to the last observed week, with expanding uncertainty).",weekly incident admissions,Ensemble,NA,NA,NA,NA,NA,NA
epiforecasts-weeklygrowth,https://samabbott.co.uk,NA,none,"A Bayesian autoregressive model using weekly incidence data, application of the forecast.vocs R package.",A Bayesian autoregressive model using weekly incidence data designed to run as a Github action. Both cases and the growth rate are assumed to be AR(1) processes with the growth rate being differenced and scaled by a decay parameter. The model is implemented using the forecast.vocs R package (https://epiforecasts.io/forecast.vocs). The analysis code is available at https://github.com/seabbs/ecdc-weekly-growth-forecasts,Reported cases by date of report aggregated to weeks.,Empirical,NA,NA,NA,NA,NA,NA
fohm-c19inbel,https://git.folkhalsomyndigheten.se/martin.camitz/c19inlbel,https://git.folkhalsomyndigheten.se/martin.camitz/c19inlbel,NA,"Negative binomial fit/projection on reported cases by age group, then converted to hospitalizations by risk assumptions updated circa monthly.",NA,official reported cases,Semi-mechanistic,NA,NA,NA,NA,NA,TRUE
itwm-dSEIR,https://www.itwm.fraunhofer.de/,NA,https://www.itwm.fraunhofer.de/content/dam/itwm/de/documents/PressemitteilungenPDF/2020/20200429_Bericht_Prognosemodelle-f%C3%BCr-die-Coronapandemie.pdf,Integral equation model based on age cohorts taking into account vaccination and testing. The parameters are adjusted to the counted cases and deaths.,"Fraunhofer-ITWM's predictions are based on a cohort model that groups people according to four age groups and according to the status infected, detected and successfully vaccinated. The dynamics of the epidemic are described by integral equations. In particular, we assume an infectious period with fixed onset, end and infectivity. The most important parameters are contact rates between age groups, detection rates and times, and death rates and times. They are adjusted to the historical data of the RKI. For forecasts, the simulation is continued with the parameters determined for the last week. In principle, the forecast quality could still be improved by anticipating the effects of events such as the end of public holidays on contact and detection rates. However, this is not yet done in the automatic submissions. All calculations use automatic differentiation. This speeds up parameter adjustment and allows for error estimates. The latter are determined by comparing counted and simulated cases and by matching the empirical standard deviations with the standard deviations predicted by the calculated sensitivities. The model is described in detail in https://www.itwm.fraunhofer.de/de/presse-publikationen/presseinformationen/2021/2021-06-22_Dritte_Welle_Starker-Effekt-von-Schnelltests-an-Schulen.html",RKI,Mechanistic,NA,NA,?,NA,NA,NA
prolix-euclidean,https://cp.lpmib.fr/medias/covid19/_synthese.html,NA,NA,"Offsets obtained by correlations, best linear approximation of reproduction rates (using vaccination  approximation) by least euclidean distance, and linear prediction.",NA,NA,Empirical,NA,NA,freq,linear from R,https://www.medrxiv.org/content/10.1101/2021.04.13.21255418v1,NA
